name;slogan;link;telefoon;provincie;stad;address;location;kvkNumber;registrationType;bedrijfsvorm;mederwerkers;op_marktplaats;ervaring;creationDate;advert_type
de VAKSCHILDERS; badkamer, keuken, woning, winkel, kantoor, bedrijfspand;<empty>;06-26522816;Gelderland;Voorst;Kervelstraat 2;7383XP Voorst;08147424;;Eenmanszaak;5;5½ jaar;23 jaar;000004191080;vakman
Stemfoort Media;Wordpress Aanpassing, Verhuizingen, Sitebouw, bestaand/nieuw;www.alleswp.nl;0387114080;Overijssel;Zwolle;Kerkstraat 2;8356DP Blokzijl;52717208;;Eenmanszaak;—;8½ jaar;9 jaar;000022634436;vakman
De Feestdoos;Creatieve workshops,vrijgezellen,baby-shower,teambuilding ;www.dekadoos.nl;0641155092;Noord-Brabant;Tilburg;Bijsterveldenlaan 69;5045ZX Tilburg;18072019;;Eenmanszaak;1;7½ jaar;5 jaar;000008147124;vakman
M.V. Autoservice;Voor alle werkzaamheden aan uw auto.;www.mvautoservice.nl;0633757022;Zuid-Holland;'s-Gravenzande;Choorstraat 71;2681AR Monster;55655432;;Eenmanszaak;—;1 maand;10 jaar;000025286447;vakman
Computer Training Thuis;Computerles, computerhulp en netwerkondersteuning aan huis;www.computertrainingthuis.nl;0619965982;Noord-Holland;Hoorn;Plevier 37;1628ET Hoorn;54102944;;Eenmanszaak;1;1½ jaar;39 jaar;000023920351;vakman
de VAKSCHILDERS;laagste prijsgarantie : € 15,- per uur  tel. 06 - 26522816  ;<empty>;06-26522816;Noord-Holland;Amsterdam;Kervelstraat 2;7383XP Voorst;08147424;;Eenmanszaak;5;5½ jaar;23 jaar;000004191080;vakman
Schone woning schoonmaak;Glazenwassen hele woning €10, Huishoudelijke hulp €13 ;www.schonewoningschoonmaak.nl;0617730563;Friesland;Leeuwarden;Grote Wielenstraat 5;8936AP Leeuwarden;61614319;;Eenmanszaak;1;9 jaar;13 jaar;000030702704;vakman
Peet's Mobiele Trimsalon;De eerste Top Trimsalon van Nederland voor Noord-Holland ;http://www.hondentrimsalon-alkmaar.nl;0610555010;Noord-Holland;Alkmaar;Waalstraat 171;1823EL Alkmaar;59721448;;Eenmanszaak;1;5 jaar;25 jaar;000028985117;vakman
Melsen Autoschade- & Reparatiebedrijf;Autoschadeherstelbedrijf, spuiterij en oldtimerrestauratie;www.melsenautoservice.nl;0162316702;Noord-Brabant;Dongen;de Hak 5;5107RG Dongen;18057646;;Eenmanszaak;1;5½ jaar;15 jaar;000001440977;vakman
Hilgers Verhuur;Verhuizen va €195,= ½ dag, € 295,=hele dag;www.zelfgoedkoopverhuizen.nl;0621584227;Noord-Brabant;Deursen-Dennenburg;Kuiperstraat 17;5371LJ Deursen-Dennenburg;51750368;;Eenmanszaak;2;6 jaar;7 jaar;000002763974;vakman
D'Anfa;Fotografie & Video;www.danfa-photo.nl;0685274104;Zuid-Holland;Rotterdam;Deensestraat 59 A;3028GD Rotterdam;52430502;;Eenmanszaak;3;9 maanden;7 jaar;000026808579;vakman
Chicart;Vanaf 30 weken kunt u bij mij terecht voor n buikschildering;www.chicart.nl;0619967443;Noord-Brabant;'s-Hertogenbosch;Stationsstraat 21 C;5241EE Rosmalen;60981075;;Eenmanszaak;—;10 maanden;4 jaar;000030123798;vakman
Busje komt zo;We can arrange your movement starting at €150 TOTAL ! cheap;www.busje-komtzo.nl;0659742744;Utrecht;Utrecht;Vicarielaan 152;3401AW IJsselstein;56077807;;BV;2;3 jaar;9 jaar;000025668862;vakman
TGA Logistics;2 3 4 Tab 10.1 Grand 2 Neo Mega Duos Alpha S Nexus Active;<empty>;0615151171;Gelderland;Wijchen;Arendstraat 31;6601AV Wijchen;58458212;;Eenmanszaak;1;8 jaar;8 jaar;000027796760;vakman
Verbunt Administratie & Belastingen;Op zoek naar een kantoor dat met u meedenkt?;www.verbuntadministratie.nl;0621597910;Groningen;Marum;Molenstraat 1 A;9363BA Marum;37143251;;Eenmanszaak;2;7 maanden;18 jaar;000013815725;vakman
RB Klus/Montage;Vakmanschap, kwaliteit en service voor een betaalbare prijs!;www.rbmontage.nl;0619426855;Noord-Holland;Hoogwoud;Essenlaan 12;1718XN Hoogwoud;59721588;;Eenmanszaak;2;3 maanden;21 jaar;000028985265;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
DPI Nederland;Webdesign | Hosting | Huisstijl | Internet marketing;http://dpidesign.nl;0332022039;Utrecht;Hoogland;Ambachtlaan 69;3828DB Hoogland;53469100;;Eenmanszaak;1;5 maanden;7 jaar;000023347465;vakman
Pc Solution;Camera Beveiliging / Installatie;www.pc-solution.nl;0611245633;Overijssel;Enschede;Leijdsweg 77 A;7533VM Enschede;08197519;;Eenmanszaak;2;9 jaar;6 jaar;000001427989;vakman
De Langen Services;voor gezonde hoeven van uw paard;www.natuurlijkehoefverzorging.nl;0650934445;Zuid-Holland;Schiedam;Hendrik Tillemaweg 35;7957CB de Wijk;27270336;;Eenmanszaak;—;1½ jaar;11 jaar;000004767837;vakman
Smaragd Express;VANAF €30 EURO DOOR HEEL NEDERLAND;<empty>;0622759939;Overijssel;Enschede;Catharina van Rennesplein 24;6952BR Dieren;09176387;;VOF;4;3 maanden;8 jaar;000015449149;vakman
Smaragd Express;VANAF €30 EURO DOOR HEEL NEDERLAND;<empty>;0622759939;Noord-Brabant;Eindhoven;Catharina van Rennesplein 24;6952BR Dieren;09176387;;VOF;4;3 maanden;8 jaar;000015449149;vakman
Smaragd Express;VANAF €30 EURO DOOR HEEL NEDERLAND;<empty>;0622759939;Noord-Holland;Amsterdam;Catharina van Rennesplein 24;6952BR Dieren;09176387;;VOF;4;3 maanden;8 jaar;000015449149;vakman
Futurive Media Holding B.V.;Betaalbare professionele website of grafisch ontwerp!;www.bureau14.nl;0203704657;Noord-Holland;Amstelveen;Tilanusstraat 47 2;1091BE Amsterdam;59569662;;BV;5;7½ jaar;4 jaar;000028857003;vakman
stucadoorsbedrijf FARNES;Sterk in binnen en buiten stucwerk!;<empty>;06-22338380;Noord-Brabant;Nistelrode;Van 't Rijk 20;5388AJ Nistelrode;60906235;;Eenmanszaak;—;3 maanden;10 jaar;000030056993;vakman
Goldtrust;ROLLUIKEN EN ZONNESCHERM REPARATIE OOK VOOR PARTICULIEREN;www.rolluikengigant.com;0657779592;Noord-Holland;Amsterdam;Poortland 32;1046BD Amsterdam;50232525;;Eenmanszaak;—;9½ jaar;6 jaar;000020665334;vakman
Aanbouw Venlo;Aanbouw, verbouw draagconstructies en stalen balken;http://aannemingsbedrijfvenlo.nl/;0613161999;Limburg;Venlo;Stalbergweg 304;5913BW Venlo;55973981;;Eenmanszaak;—;4 maanden;39 jaar;000025574523;vakman
Hans Rosing Photography;Trouwreportages, Engagementshoot, Fashion & Studiofotograaf;http://www.hansrosing.nl;0655687832;Drenthe;Wilhelminaoord;M A v Naamen v Eemnesln 37;8384EB Wilhelminaoord;59292776;;Overig;1;3½ jaar;5 jaar;000028598032;vakman
TGA Logistics;Smartphones & Ipad reparatie Wijchen 1 UUR SERVICE!!!;<empty>;0615151171;Gelderland;Wijchen;Arendstraat 31;6601AV Wijchen;58458212;;Eenmanszaak;1;8 jaar;8 jaar;000027796760;vakman
Het Groene Draakje;Gastouderopvang;http://www.groenedraakje.nl;0624859356;Noord-Brabant;Oosterhout;Basielhof 65;4907AH Oosterhout;54786908;;Eenmanszaak;1;7½ jaar;7 jaar;000024513709;vakman
Meubeltaxi Amsterdam;vervoer/bankstel/kasten/ladenkast/meubeltaxi/verhuizer/bank;http://www.vervoerdienst.nl;0618698949;Noord-Holland;Amsterdam;Cornelis Lelylaan 103 2;1065CN Amsterdam;61702137;;VOF;3;6½ jaar;5 jaar;000030782007;vakman
Willem Jansen Bouwservice;Bouwservice Jansen: Voor elke klus een vakkundige aanpak!!!;<empty>;0622523607;Utrecht;Amersfoort;Fuutstraat 13;3815JN Amersfoort;32071544;;Eenmanszaak;2;4 maanden;21 jaar;000012525251;vakman
Total Touch Therapy;Total Touch Massage Therapy Amsterdam;www.totaltouchmassagetherapy.nl;0621535356;Noord-Holland;Amsterdam;Kromme Leimuidenstraat 22 hs;1059EN Amsterdam;34339765;;Eenmanszaak;1;6½ jaar;7 jaar;000007621078;vakman
De Toveruil;Meer dan 15 jaar ervaring in de kinderopvang!;www.detoveruil.nl;0646546377;Drenthe;Hoogeveen;De Merel 4;7905AK Hoogeveen;61833487;;Eenmanszaak;1;5 maanden;16 jaar;000030901154;vakman
KutungaGrafik;Grafisch vormgeving en Webdesign;http://www.kutungagrafik.com;0646095161;Noord-Holland;Hilversum;Meteorenstraat 34;1223ET Hilversum;51534320;;Eenmanszaak;1;1 jaar;22 jaar;000021553505;vakman
Furnieq;Verhuizing of transport omgeving Utrecht? Goed en goedkoop!;www.furnieq-transport.nl;030-7512835;Utrecht;Utrecht;Trekvalk 7;3435ZP Nieuwegein;60979135;;VOF;3;5 maanden;5 jaar;000028291379;vakman
BatArtworks;Unieke graffiti muurschilderingen & schilderijen in opdracht;http://www.batartworks.nl;0629479865;Noord-Holland;Amsterdam;Leeuwenburgh 33;1391RE Abcoude;60055421;;Eenmanszaak;1;2½ jaar;31 jaar;000029287650;vakman
Hoveniersbedrijf Schel;Voor al uw tuinwerkzaamheden;www.hoveniersbedrijfschel.nl;0621618860;Noord-Brabant;Berlicum;Hooghei 62;5258SZ Berlicum;58776516;;Eenmanszaak;—;5 maanden;7 jaar;000028108825;vakman
PDK Kootstertille Holding B.V.;Specialist in dakrenovatie ;www.dakrenovatie.info;0623624590;Friesland;Kootstertille;Oastkern 16 A;9288XJ Kootstertille;54768055;;BV;6;4½ jaar;23 jaar;000024496766;vakman
GoldStar Entertainment & Events;Professioneel licht en geluid vanaf €250,- incl btw!;www.goldstarentertainment.nl;0623122820;Drenthe;Dwingeloo;De Haar 18;7991BL Dwingeloo;61726877;;Eenmanszaak;1;4 jaar;7 jaar;000030804051;vakman
Eddies Creatieve Tuinideeën;Uw Tuin mijn Passie, sterk in tuinwerk;<empty>;0652068572;Friesland;Eastermar;'t Hôf 50;9261VV Eastermar;61036153;;Eenmanszaak;1;3½ jaar;15 jaar;000030172195;vakman
Pianion;Zangles en Pianoles;<empty>;0642557633;Zuid-Holland;Vlaardingen;Populierendreef 155;3137CV Vlaardingen;61093165;;Eenmanszaak;1;4 jaar;25 jaar;000030223024;vakman
Auto Service Alex;Aygo , C1 , 107 Specialist van Noord-Holland! Scherpe Prijs!;www.autoservicealex.nl;0640447571;Noord-Holland;Wormerveer;Witte Vlinderweg 21 s;1521PS Wormerveer;59614781;;Eenmanszaak;1;1 jaar;13 jaar;000028890442;vakman
Taal aan de Zaan;Taal leren met verhalen - TPR Storytelling;www.taalaandezaan.nl;0756172354;Noord-Holland;Zaandam;Bleekersstraat 71;1505GA Zaandam;59555343;;Eenmanszaak;—;5 maanden;9 jaar;000028843894;vakman
Chris Poppe;Voor al uw Pakket,Koeriersdiensten en kleine Verhuizingen;<empty>;06-22496758;Gelderland;Zetten;Nansenstraat 28;6671BB Zetten;61237922;;Eenmanszaak;1;6 maanden;1 jaar;000030355788;vakman
Marcel Maagdenberg;Ontwikkelen en verbeteren van osCommerce en Wordpress;http://www.marcelmedia.nl;0132600295;Noord-Brabant;Tilburg;Bingelradestraat 44;5043BT Tilburg;17277780;;Eenmanszaak;1;5½ jaar;12 jaar;000009772774;vakman
De tapijttrekgigant;is uw tapijt een doorn in het oog bel ons tevens sloopwerk ;www.detapijttrekgigant.nl;0639610642;Utrecht;Vinkeveen;Waverbancken 28;3645VS Vinkeveen;55801099;;Eenmanszaak;1;5 jaar;8 jaar;000025416898;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
Dodo Interior;Laminaat legger /leggen / ook verkoop laminaat, met GARANTIE;http://www.dodointerior.nl;0614876333;Noord-Holland;Amsterdam;Biezenmeent 55;1218BV Hilversum;34388667;;Eenmanszaak;1;6½ jaar;15 jaar;000000408719;vakman
Extrema Bouw;Alle werkzaamheden in en rondom Huis/Kantoor/Bedrijf/Horeca;http://extremabouw.nl;0617892185;Zuid-Holland;Rotterdam;Nieuwe Boezemstraat 82;3034PJ Rotterdam;24352549;;Eenmanszaak;2;7 jaar;16 jaar;000001127144;vakman
T. van Maanen Parketvloeren;Parket vloer renoveren, schuren, olien, lakken, leggen. ;http://www.vanmaanenparketvloeren.nl;0334755701;Utrecht;Amersfoort;Ronhaarstraat 32;3815MC Amersfoort;09072805;;VOF;2;7½ jaar;29 jaar;000006673562;vakman
Trans-Flex Verhuisdiensten;(Kilometer en brandstof vrij) Goedkoopste verhuisservice!!;www.trans-flexverhuisdiensten.nl;0299750392;Noord-Holland;Purmerend;Jachtwagenstraat 32;1445NL Purmerend;58580166;;Eenmanszaak;4;1 jaar;11 jaar;000027916146;vakman
JOUWOPSLAGRUIMTE.NL;selfstorage, opslagruimte, opslagbox, motorstalling. ;www.jouwopslagruimte.nl;06-55835299;Overijssel;Hardenberg;Nieuwe Burgerkampweg 5;7772SH Hardenberg;60904739;;Eenmanszaak;1;11 maanden;1 jaar;000030055601;vakman
Jelle Zwarekant Vertalingen;Goed(koop) vertalen of corrigeren: Nederlands & Engels;www.jellezwarekant.nl;0621583892;Noord-Holland;Amsterdam;Nierkerkestraat 31 4;1069HZ Amsterdam;54483573;;Eenmanszaak;1;3 jaar;5 jaar;000024244570;vakman
Buitenveldert Computerreparatie; 15 euro/per uur uw ComputerHulp/Telefoonreparatie;http://www.buitenveldert-computerreparatie-advies.nl/index.php;06-24785979;Noord-Holland;Amsterdam;Hof van Groenen 12;1083JR Amsterdam;61197904;;Eenmanszaak;1;8 jaar;9 jaar;000030318300;vakman
Tivako Pallet Expresse-Dienst;Specialist in kleinschalig vervoer naar Frankrijk - Spanje ;<empty>;013-5332512;Noord-Brabant;Berkel-Enschot;Steenovenlaan 12;5056VR Berkel-Enschot;18048359;;BV;2;5½ jaar;18 jaar;000011701633;vakman
Marios klusbedrijf;Van kleine klusjes t/m een complete renovatie van uw huis.;http://www.mariosklusbedrijf.nl/;0617464250;Noord-Brabant;Waalre;Mevr. Brantlaan 22;5583EB Waalre;59208759;;Eenmanszaak;—;4 jaar;13 jaar;000028520467;vakman
Eefje thuiszorg en schoonmaak;HUISHOUDELIJKE HULP;<empty>;<empty>;Zuid-Holland;'s-Gravenhage;Reviusstraat 21;2532CA 's-Gravenhage;60497394;;Eenmanszaak;3;5½ jaar;7 jaar;000029688396;vakman
De Hoek Watersport C.V.;Bootverhuur in friesland, een unieke manier van ontspanning;http://www.dehoekwatersport.nl;0513-499116;Friesland;Dijken;Nummer 1;8528DT Dijken;55728677;;CV;3;9½ jaar;47 jaar;000001802666;vakman
Gordini Classic Cars;Uw betaalbare dienstverlener in autotransport, autoambulance;http://www.gordini.nl;0652218046;Gelderland;Gendt;Nijverheidsweg 4;6691EZ Gendt;09172448;;Eenmanszaak;1;8 jaar;19 jaar;000002830965;vakman
Dopi Transport;Dopi doet 't!;http://www.dopitransport.nl;06-12916118;Noord-Holland;Purmerend;Boeierstraat 171;1443EH Purmerend;52446506;;VOF;2;3½ jaar;4 jaar;000022373675;vakman
Verhuisservice Berkane;verhuizingen en transport binnen en buiten Nederland;www.verhuisserviceberkane.nl;0649004796;Zuid-Holland;Rotterdam;Prometheusstraat 67;3054WD Rotterdam;24482948;;Overig;9;5 jaar;18 jaar;000001866257;vakman
Move West Verhuizingen B.V.;Gerenommeerd verhuisbedrijf die voor u klaar staat !!;http://www.thoentje-vanderzalm.com/;0174290839;Zuid-Holland;Wateringen;Linnewever 22;2292JH Wateringen;58828346;;BV;10+;7 maanden;43 jaar;000028159691;vakman
Scarbo Musica;piano- en vleugelvervoer;http://scarbopianotransport.nl;06-53516624;Utrecht;Eemnes;Rietgors 70;3755GE Eemnes;33292031;;Eenmanszaak;2;6 jaar;21 jaar;000002190230;vakman
Poffertjesservice;Pizzacatering pannenkoekencatering poffertjeskraam snackwage;www.funfoodcatering.nl;06-15201151;Flevoland;Emmeloord;Handelskade 1;8305AX Emmeloord;32123957;;Eenmanszaak;3;7½ jaar;12 jaar;000003838609;vakman
Wim Hendriksen Grondwerk, Bestrating en Verhuur;bestratingen grondwerk riolering aanleg vijvers;<empty>;0611206940;Gelderland;Ruurlo;'t Oltwater 5;7261NC Ruurlo;09143631;;VOF;1;3½ jaar;30 jaar;000012194182;vakman
Berat Transport;SNEL...GOEDKOOP..HELDER;www.berattransport.nl;0611568970;Noord-Holland;Amsterdam;Tolstraat 74;1073SE Amsterdam;52974871;;Eenmanszaak;10+;1 jaar;6 jaar;000015246353;vakman
Hoogstad Dienstverlening;Snel en goedkoop een verhuislift met bediening huren ?;www.hoogstadverhuisliften.nl;0653220973;Zuid-Holland;Leidschendam;Gv Juliana v Stolbergln 50;2263VK Leidschendam;61290491;;Eenmanszaak;3;8 maanden;15 jaar;000030404681;vakman
van Zutphen van Gelder & Jongejan;Voor al uw administratie's en alle aangifte's ;www.vanzgj.nl;070-4157601;Zuid-Holland;'s-Gravenhage;Bolmanstraat 22;2496RE 's-Gravenhage;61726702;;VOF;4;8 maanden;22 jaar;000030803896;vakman
Kimmy's Fotografie;For all youre best moments!;www.kimmysfotografie.nl;06-11587141;Noord-Holland;Nieuw-Vennep;Lucas Bolsstraat 24;2152CZ Nieuw-Vennep;61209376;;Eenmanszaak;1;3½ jaar;4 jaar;000030329256;vakman
International Comprehensive Care Association (ICCA) Nederland B.V.;Klantvriendelijke (24/7) particuliere zorg bij u thuis;www.happyhomecare.nl;0882474800;Zuid-Holland;Reeuwijk;Oud Reeuwijkseweg 22 a;2811KC Reeuwijk;58898530;;BV;10+;8 maanden;11 jaar;000028224906;vakman
TWM Transport;uitgebreide transportservice inclusief aanhanger service;www.twmtransport.com;0621117578;Noord-Holland;Oostzaan;De Hoper 47;1511HR Oostzaan;59658916;;Eenmanszaak;—;9 maanden;26 jaar;000028928636;vakman
Hiko Bestratingen;Tijdelijk 6 % BTW op arbeidsloon vraag naar de voorwaarden.;www.hikobestratingen.nl;0615831365;Drenthe;Assen;Pijlkruidstraat 56;9404GS Assen;01163692;;Niet van toepassing;—;5 jaar;12 jaar;000009169520;vakman
Nol Sierbestrating;Voor al u bestrating groot of klein moet u bij nol zijn;<empty>;0652237400;Gelderland;Arnhem;Boreasplantsoen 75;6846XL Arnhem;55208029;;Eenmanszaak;1;6 jaar;25 jaar;000024885495;vakman
Smaragd Express;Uw pakket is ons juweel! GEHEEL EUROPA!!!;www.smaragdexpress.nl;0644050217;Zuid-Holland;Rotterdam;Catharina van Rennesplein 24;6952BR Dieren;09176387;;VOF;4;4 jaar;8 jaar;000015449149;vakman
Theo de Jong bestratingen;Voor al uw soorten (sier)bestrating;<empty>;0618191101;Noord-Brabant;Vlijmen;Ossewaardestraat 5;5251BH Vlijmen;17135794;;Eenmanszaak;1;5½ jaar;14 jaar;000013024892;vakman
Transportbedrijf Gerlach;OP JE VERHUIZING OF TRANSPORT BESPAREN??;www.gerlachtransport.nl;06-31698008;Zuid-Holland;'s-Gravenhage;2e Messstraat 23;2586XA 's-Gravenhage;56029373;;Eenmanszaak;4;4½ jaar;10 jaar;000025624547;vakman
Konijnentraining Joy;De eerste konijnenschool in Noord-Holland!;www.konijnentrainingjoy.nl;06-23828706;Noord-Holland;Haarlem;Sandenburg 146;2036PT Haarlem;58529144;;Eenmanszaak;2;1 jaar;2 jaar;000027863999;vakman
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;<empty>;advertentie
B. Smedes t.h.o.d.n. Klus-Student.nl Delft;Vakkundige klusstudenten en gedreven professionals;www.klus-student.nl;<empty>;Zuid-Holland;Delft;Nachtegaal 127;1628DH Hoorn;59534397;;Overig;10+;9 maanden;4 jaar;000028823869;vakman
Timmer en Onderhoudsbedrijf Van Der Heide;Voor al uw klussen in en om uw huis, Peter van der Heide;http://www.petervanderheide.nl;0611874068;Groningen;Oldekerk;Eekebuursterweg 10;9821PC Oldekerk;01172032;;Eenmanszaak;1;4½ jaar;22 jaar;000001435175;vakman
S. van Dijk;Allround timmerman voor al uw timmerwerk & houtrot reparatie;www.vandijktimmerwerk.nl;0624681637;Zuid-Holland;Rotterdam;Zestienhovensekade 91 B;3043KK Rotterdam;24387375;;Eenmanszaak;1;5½ jaar;20 jaar;000004845471;vakman
Jef Goessens Grondverzet en Minigraafverhuur;Wij staan garant voor kwaliteit en service!;www.jefgoessenssmederij.nl;0621203273;Limburg;Eijsden;Rode Kastanjelaan 1;6245JT Eijsden;14065959;;Eenmanszaak;2;2 jaar;30 jaar;000001181610;vakman
